index,target
4974,RBL2
2211,NT5C1A
4628,CXCR1
4775,CXCR2
989,NT5C1B
391,ARHGAP35
379,MYL7
90,CDC23
1405,PLCD1
672,CACNA1G
722,CCNB1
1,PPP2R3B
760,GLI1
1586,CACNG1
497,CIITA
4778,RASGRP1
720,GSTT1
1485,CACNA2D3
671,FCGR2B
47,MAP3K8
94,GSTA1
4901,PLCD3
500,HMGCS2
4964,SP1
4291,PLK1
1438,BCL2L11
4304,GLB1
6,MGST2
788,CACNB1
70,TPM2
505,GSTO1
5,HHIP
80,HSPA6
787,AXIN2
5203,MGST1
405,C1S
700,ACTN3
380,GSTA5
730,HSPA2
1463,CYP2C19
1533,AXIN1
1562,CACNG8
40,NLK
17,COL1A1
4857,FCGR1A
4373,PPP2R3C
448,COL2A1
4630,PFKL
4632,BIRC5
193,PDHA2
288,ANAPC7
292,PLCD4
1175,GSTM5
1184,GAD1
974,IL7R
300,CFL2
5043,TNXB
4872,FLNA
4490,AKR1B10
309,BIRC8
1207,IL23A
1208,CDC27
564,PPARG
4472,FCGR3A
4650,EFNA4
1158,CGA
4834,GLI3
1153,C4A
5101,CACNG4
5080,PFN3
4559,PDHA1
592,MYL10
250,ANAPC4
1052,EFNA5
5069,BDKRB1
4599,LTA
4600,DPYS
4791,ANGPT2
153,VWF
611,UPB1
4540,CCL4L2
5062,COL5A1
4535,ANAPC1
1033,CXCL1
1025,IL1R2
4527,FLNB
1145,DPYD
